date,brand,racquet,grade,grip,used_price,new_price,sku
2026-08-06,Wilson,Wilson Triad Three Racquet,Grade B,"4 1/4""",219.0,269.0,UR0C01B
2026-08-06,Head,Head Speed Tour 2026 Racquet,Grade A,"4 1/4""",209.0,269.0,UR0C19C
2026-08-06,Head,Head Speed Tour 2026 Racquet,Grade B,"4 3/8""",199.0,269.0,UR0C07F
2026-08-06,Head,Head Speed Tour 2026 Racquet,Grade C,"4 3/8""",189.0,269.0,UR0C35E
2026-08-06,Head,Head Speed MP 2026 Racquet,Grade A,"4 1/4""",209.0,259.0,UR8B03G
2026-08-06,Head,Head Speed MP 2026 Racquet,Grade A,"4 1/4""",209.0,259.0,UR8B05C
2026-08-06,Head,Head Speed Pro 2026 Racquet,Grade A,"4 1/2""",229.0,269.0,URD0E01E
2026-08-06,Head,Head Speed Team 2026 Racquet,Grade A,"4 1/4""",189.0,239.0,UR8B11G
2026-08-06,Head,Head Speed MP L 2026 Racquet,Grade A,"4 1/4""",199.0,249.0,UR8A13C
2026-08-06,Head,Head Speed Pro Legend 2025 Racquet,Grade B,"4 1/4""",219.0,269.0,UR0C29B
2026-08-06,Head,Head Speed Pro Legend 2025 Racquet,Grade C,"4 1/4""",199.0,269.0,UR0C29C
2026-08-06,Head,Head Speed MP Legend 2025 Racquet,Grade A,"4 3/8""",209.0,259.0,UR8B13B
2026-08-06,Head,Head Speed MP Legend Racquet,Grade C,"4 1/8""",99.0,169.0,UR8B01G
2026-08-06,Head,Head Speed Team Racquet,Grade B,"4 1/8""",109.0,149.0,UR8B16C
2026-08-06,Head,Head Extreme Pro 2024 Racquet,Grade B,"4 1/2""",219.0,199.0,UR0C15A
2026-08-06,Head,Head Extreme Team 2024 Racquet,Grade A,"4 3/8""",149.0,169.0,UR8A17D
2026-08-06,Head,Head Extreme Tour Racquet,Grade A,"4 3/8""",109.0,159.0,UR0C03C
2026-08-06,Head,Head Extreme Tour Racquet,Grade A,"4 5/8""",159.0,159.0,UR0C15F
2026-08-06,Head,Head Extreme Team Racquet,Grade C,"4 1/4""",119.0,179.0,UR0C29F
2026-08-06,Head,Head Boom MP 2026 Racquet,Grade A,"4 3/8""",219.0,259.0,UR0C03E
2026-08-06,Head,Head Boom Pro Racquet,Grade B,"4 3/8""",139.0,159.0,UR8B18F
2026-08-06,Head,Head Boom Pro Racquet,Grade B,"4 1/2""",139.0,159.0,UR0B37C
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C07D
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C25A
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C09A
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/4""",199.0,269.0,UR0C29D
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade C,"4 1/4""",179.0,269.0,UR0B37E
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 3/8""",199.0,269.0,URD0D03D
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/2""",199.0,269.0,UR0C31F
2026-08-06,Head,Head Gravity Pro 2025 Racquet,Grade B,"4 1/2""",199.0,269.0,UR8A04G
2026-08-06,Head,Head Gravity Tour 2025 Racquet,Grade A,"4 3/8""",219.0,269.0,UR0B39F
2026-08-06,Head,Head Gravity Tour 2025 Racquet,Grade B,"4 3/8""",209.0,269.0,URD0D01E
2026-08-06,Head,Head Gravity Tour 2025 Racquet,Grade C,"4 3/8""",199.0,269.0,UR0C11B
2026-08-06,Head,Head Gravity MP 2025 Racquet,Grade B,"4 1/4""",199.0,259.0,UR0B27A
2026-08-06,Head,Head Gravity MP 2025 Racquet,Grade B,"4 3/8""",199.0,259.0,URD0E01D
2026-08-06,Head,Head Gravity MP L 2025 Racquet,Grade A,"4 1/4""",199.0,239.0,UR8A01C
2026-08-06,Head,Head Gravity MP L 2025 Racquet,Grade A,"4 1/4""",199.0,239.0,UR8A04C
2026-08-06,Head,Head Gravity Team 2025 Racquet,Grade A,"4 3/8""",189.0,229.0,UR8B20C
2026-08-06,Head,Head Gravity Team 2025 Racquet,Grade A,"4 3/8""",189.0,229.0,UR8B01D
2026-08-06,Head,Head Gravity Team 2025 Racquet,Grade C,"4 3/8""",169.0,229.0,URD0D09B
2026-08-06,Head,Head Radical Pro 2025 Racquet,Grade B,"4 1/4""",219.0,269.0,UR0C31E
2026-08-06,Head,Head Radical Pro 2025 Racquet,Grade B,"4 1/2""",219.0,269.0,UR0B25E
2026-08-06,Head,Head Prestige Pro Racquet,Grade C,"4 3/8""",159.0,269.0,URD0E05B
2026-08-06,Head,Head Prestige Tour Racquet,Grade B,"4 1/2""",199.0,269.0,UR0C03A
2026-08-06,Head,Head Prestige MP L Racquet,Grade B,"4 1/4""",189.0,259.0,UR0B27F
2026-08-06,Head,Head Prestige MP L Racquet,Grade A,"4 3/8""",209.0,259.0,UR8A01D
2026-08-06,Head,Head Prestige MP L Racquet,Grade B,"4 3/8""",189.0,259.0,UR0B29B
2026-08-06,Head,Head Prestige MP L Racquet,Grade B,"4 3/8""",189.0,259.0,URD0D11E
2026-08-06,Head,Head PWR 110 Racquet,Grade A,"4 1/8""",159.0,199.0,UR0C05C
2026-08-06,Yonex,Yonex VCORE 98 Tour 8th Gen Racquet,Grade A,"4 1/4""",239.0,305.0,UR8A09F
2026-08-06,Yonex,Yonex VCORE 98 Tour 8th Gen Racquet,Grade A,"4 1/4""",239.0,305.0,UR8A16F
2026-08-06,Yonex,Yonex VCORE 98 Tour 8th Gen Racquet,Grade A,"4 1/4""",239.0,305.0,UR8A19E
2026-08-06,Yonex,Yonex EZONE 98+ (2025) Racquet,Grade C,"4 1/4""",229.0,305.0,UR0B29F
2026-08-06,Yonex,Yonex EZONE 100L Aqua Night Black Racquet,Grade C,,119.0,169.0,UR8B03F
2026-08-06,Yonex,Yonex Percept 97D Racquet,Grade A,"4 3/8""",239.0,305.0,UR8B18E
2026-08-06,Tecnifibre,Tecnifibre TFight 300S IG Racquet,Grade B,"4 1/4""",219.0,269.0,UR0B23F
2026-08-06,Tecnifibre,Tecnifibre TFight 305S Racquet,Grade B,"4 1/4""",229.0,279.0,URD0E03D
