brand,racquet,grade,grip,used_price,new_price,discount_pct,new_cheaper,in_stock,sku,code,list_price,rating,reviews,specs,nspec,url,is_new,verdict,median,basis,was_price
Head,Head Instinct PWR 110 Racquet,Grade B,"4 1/8""",99.0,139.0,29,False,1,UR8B17B,INSPW0,169.0,4.4,9,"{'head': '110 in² / 709.68 cm²', 'length': '27.4in / 69.6cm', 'weight': '9.7oz / 275g', 'balance': '13.8in / 35.05cm / 1 pts HH', 'swingweight': '307', 'stiffness': '67', 'beam': '26mm / 25mm / 23mm', 'composition': 'Graphene 360+/Graphite', 'power': 'Medium-High', 'stroke': 'Compact-Medium', 'swing': 'Slow-Moderate', 'griptype': 'Head Hydrosorb Comfort', 'tension': '52-62 pounds'}","{'head_in2': 110.0, 'weight_oz': 9.7, 'weight_g': 275.0, 'swingweight': 307.0, 'stiffness': 67.0, 'balance_pts': 1.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=INSPW0,False,,,,
Yonex,Yonex EZONE 98+ (2025) Racquet,Grade C,"4 3/8""",219.0,305.0,28,False,1,UR8B19D,LEZ98B,,5.0,1,"{'head': '98 in² / 632.26 cm²', 'length': '27.5in / 69.85cm', 'weight': '11.4oz / 323g', 'balance': '13.07in / 33.2cm / 5 pts HL', 'swingweight': '334', 'stiffness': '62', 'beam': '23.8mm/24.5mm/19.5mm', 'composition': 'Minolon/2NAMD-Speed/HM Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Synthetic', 'tension': '45-60 pounds'}","{'head_in2': 98.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 334.0, 'stiffness': 62.0, 'balance_pts': -5.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=LEZ98B,False,typical,219.0,"3 past prices, this grade",
Yonex,Yonex EZONE 98+ (2025) Racquet,Grade C,"4 3/8""",219.0,305.0,28,False,1,UR8B20D,LEZ98B,,5.0,1,"{'head': '98 in² / 632.26 cm²', 'length': '27.5in / 69.85cm', 'weight': '11.4oz / 323g', 'balance': '13.07in / 33.2cm / 5 pts HL', 'swingweight': '334', 'stiffness': '62', 'beam': '23.8mm/24.5mm/19.5mm', 'composition': 'Minolon/2NAMD-Speed/HM Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Synthetic', 'tension': '45-60 pounds'}","{'head_in2': 98.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 334.0, 'stiffness': 62.0, 'balance_pts': -5.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=LEZ98B,False,typical,219.0,"3 past prices, this grade",
Yonex,Yonex EZONE 100L (2025) Racquet,Grade C,"4 1/8""",219.0,305.0,28,False,1,UR8B12F,EZ1LBB,,4.0,3,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '10.6oz / 301g', 'balance': '13.18in / 33.48cm / 3 pts HL', 'swingweight': '310', 'stiffness': '67', 'beam': '24.5mm / 26.5mm / 23mm', 'composition': 'Minolon/2NAMD-Speed/HM Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Synthetic', 'tension': '40-55 pounds'}","{'head_in2': 100.0, 'weight_oz': 10.6, 'weight_g': 301.0, 'swingweight': 310.0, 'stiffness': 67.0, 'balance_pts': -3.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=EZ1LBB,False,typical,213.63087248322148,"5 past prices across grades, adjusted to Grade C",
Head,Head Prestige MP L Racquet,Grade B,"4 1/4""",189.0,259.0,27,False,1,UR0B27F,HPRMPL,279.0,4.3,12,"{'head': '99 in² / 638.71 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '309', 'stiffness': '61', 'beam': '21.5mm / 21.5mm / 21.5mm', 'composition': 'Auxetic 2/Graphene Inside/Graphite', 'power': 'Low', 'stroke': 'Full', 'swing': 'Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 99.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 309.0, 'stiffness': 61.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HPRMPL,False,typical,189.0,"4 past prices, this grade",
Head,Head Prestige MP L Racquet,Grade B,"4 3/8""",189.0,259.0,27,False,,URD0D11E,HPRMPL,279.0,4.3,12,"{'head': '99 in² / 638.71 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '309', 'stiffness': '61', 'beam': '21.5mm / 21.5mm / 21.5mm', 'composition': 'Auxetic 2/Graphene Inside/Graphite', 'power': 'Low', 'stroke': 'Full', 'swing': 'Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 99.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 309.0, 'stiffness': 61.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HPRMPL,False,typical,189.0,"4 past prices, this grade",
Head,Head Prestige MP L Racquet,Grade B,"4 1/2""",189.0,259.0,27,False,1,UR0C23A,HPRMPL,279.0,4.3,12,"{'head': '99 in² / 638.71 cm²', 'length': '27in / 68.58cm', 'weight': '11.2oz / 318g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '309', 'stiffness': '61', 'beam': '21.5mm / 21.5mm / 21.5mm', 'composition': 'Auxetic 2/Graphene Inside/Graphite', 'power': 'Low', 'stroke': 'Full', 'swing': 'Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 99.0, 'weight_oz': 11.2, 'weight_g': 318.0, 'swingweight': 309.0, 'stiffness': 61.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HPRMPL,False,typical,189.0,"4 past prices, this grade",
Head,Head Speed Pro Legend 2025 Racquet,Grade C,"4 1/4""",199.0,269.0,26,False,1,UR0C29C,HSPPL5,,4.8,9,"{'head': '100 in² / 645.16 cm²', 'length': '27in / 68.58cm', 'weight': '11.5oz / 326g', 'balance': '12.59in / 31.98cm / 7 pts HL', 'swingweight': '328', 'stiffness': '61', 'beam': '23mm / 23mm / 23mm', 'composition': 'Auxetic 2/Graphene Inside/Boron/Graphite', 'power': 'Low', 'stroke': 'Full', 'swing': 'Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 100.0, 'weight_oz': 11.5, 'weight_g': 326.0, 'swingweight': 328.0, 'stiffness': 61.0, 'balance_pts': -7.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HSPPL5,False,,,,
Head,Head Boom Pro 2026 Racquet,Grade B,"4 3/8""",199.0,269.0,26,False,1,UR8B08G,HBOOP6,,4.0,1,"{'head': '98 in² / 632.26 cm²', 'length': '27in / 68.58cm', 'weight': '11.5oz / 326g', 'balance': '12.59in / 31.98cm / 7 pts HL', 'swingweight': '325', 'stiffness': '64', 'beam': '22mm / 22mm / 21.5mm', 'composition': 'BoronAuxetic 2/Graphene Inside/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Hydrosorb Pro'}","{'head_in2': 98.0, 'weight_oz': 11.5, 'weight_g': 326.0, 'swingweight': 325.0, 'stiffness': 64.0, 'balance_pts': -7.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HBOOP6,False,,,,209.0
Head,Head Prestige Tour Racquet,Grade B,"4 1/2""",199.0,269.0,26,False,1,UR0C03A,THPRTR,299.0,4.4,18,"{'head': '95 in² / 612.9 cm²', 'length': '27in / 68.58cm', 'weight': '11.7oz / 332g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '330', 'stiffness': '62', 'beam': '22mm / 22mm / 22mm', 'composition': 'Auxetic 2/Graphene Inside/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Head Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 95.0, 'weight_oz': 11.7, 'weight_g': 332.0, 'swingweight': 330.0, 'stiffness': 62.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=THPRTR,False,,,,
Head,Head Extreme Pro 2024 Racquet,Grade B,"4 1/2""",149.0,199.0,25,False,1,UR0C15A,HREP24,299.0,4.4,21,"{'head': '98 in² / 632.26 cm²', 'length': '27in / 68.58cm', 'weight': '11.4oz / 323g', 'balance': '12.79in / 32.49cm / 6 pts HL', 'swingweight': '322', 'stiffness': '64', 'beam': '22mm / 23mm / 21mm', 'composition': 'Graphene 360+/Graphite', 'power': 'Low-Medium', 'stroke': 'Medium-Full', 'swing': 'Medium-Fast', 'griptype': 'Hydrosorb Pro', 'tension': '48-57 pounds'}","{'head_in2': 98.0, 'weight_oz': 11.4, 'weight_g': 323.0, 'swingweight': 322.0, 'stiffness': 64.0, 'balance_pts': -6.0}",https://www.tennis-warehouse.com/orderusedproduct.html?pcode=HREP24,False,typical,149.0,"6 past prices, this grade",219.0
